log_y_lote,region
.640184,"1B"
1.073735,"1B"
1.117169,"1B"
1.776131,"1B"
3.389074,"1B"
3.191805,"1B"
1.196441,"1B"
1.813518,"1B"
.4516487,"1B"
3.571396,"1B"
2.347243,"1B"
2.197431,"1B"
-.1305404,"1B"
.551791,"1B"
-.4016514,"1B"
.7760396,"1B"
1.923933,"1B"
.8117344,"1B"
1.738014,"1B"
2.35819,"1B"
2.199454,"1B"
2.231963,"1B"
-2.249594,"1B"
.2402838,"1B"
2.205541,"1B"
1.92962,"1B"
-1.987409,"1B"
1.298394,"1B"
.9001817,"1B"
1.564947,"1B"
3.689214,"1B"
3.424087,"1B"
-1.668869,"1B"
5.718204,"1B"
1.407417,"1B"
6.012666,"1B"
2.481777,"1B"
-.2765852,"1B"
1.693329,"1B"
2.207517,"1B"
1.256652,"1B"
.8048406,"1B"
1.562904,"1B"
2.785628,"1B"
1.523159,"1B"
1.138025,"1B"
3.395169,"1B"
4.479562,"1B"
2.237674,"1B"
1.610162,"1B"
-.1686873,"1B"
.2858779,"1B"
-1.289876,"1B"
1.792493,"1B"
2.82771,"1B"
.699164,"1B"
3.939903,"1B"
1.245099,"1B"
1.392127,"1B"
3.624616,"1B"
.1113983,"1B"
.4252023,"1B"
.5408639,"1B"
.8443521,"1B"
1.682028,"1B"
1.821448,"1B"
1.765705,"1B"
2.015976,"1B"
.3525003,"1B"
1.741851,"1B"
1.572973,"1B"
2.482445,"1B"
2.232408,"1B"
2.068001,"1B"
.9131538,"1B"
2.854382,"1B"
.1921728,"1B"
2.782446,"1B"
1.356696,"1B"
2.087837,"1B"
2.408718,"1B"
2.097584,"1B"
.9178016,"1B"
4.025075,"1B"
3.620882,"1B"
1.048679,"1B"
3.798496,"1B"
1.859926,"1B"
-1.551981,"1B"
1.001003,"1B"
-.4198065,"1B"
1.360251,"1B"
2.619685,"1B"
2.145705,"1B"
1.079667,"1B"
-1.449349,"1B"
2.116301,"1B"
3.188256,"1B"
2.929838,"1B"
3.682874,"1B"
2.052239,"1B"
2.260457,"1B"
3.212938,"1B"
-3.607742,"1B"
1.869714,"1B"
2.667922,"1B"
.7155787,"1B"
1.49529,"1B"
1.268802,"1B"
.503517,"1B"
4.174043,"1B"
2.453837,"1B"
.1209779,"1B"
1.778372,"1B"
2.731643,"1B"
.9337888,"1B"
1.199664,"1B"
1.934965,"1B"
-1.08402,"1B"
1.437876,"1B"
-.1679738,"1B"
-1.447608,"1B"
1.962731,"1B"
3.106334,"1B"
5.511968,"1B"
3.954786,"1B"
3.524995,"1B"
1.057835,"2A"
1.945556,"2A"
3.313069,"2A"
2.626421,"2A"
3.591352,"2A"
3.763205,"2A"
3.533178,"2A"
3.914642,"2A"
1.496399,"2A"
-.7695165,"2A"
1.883319,"2A"
2.914267,"2A"
-.2705982,"2A"
1.875751,"2A"
3.299884,"2A"
1.431265,"2B"
1.057342,"2B"
.8782275,"2B"
.7299418,"2B"
.2184686,"2B"
-.6745669,"2B"
1.364281,"2B"
1.183964,"2B"
1.735276,"2B"
1.162397,"2B"
1.235838,"2B"
2.740027,"2B"
.3661697,"2B"
.7325554,"2B"
-.2134061,"2B"
2.573345,"2B"
-.6428933,"2B"
.1216511,"2B"
.8117433,"2B"
1.166919,"2B"
.9076496,"2B"
2.922527,"2B"
1.066206,"2B"
-.015466,"2B"
.9218075,"2B"
.8454777,"2B"
1.095822,"2B"
-2.093029,"2B"
2.455152,"2B"
-.5324358,"2B"
.086352,"2B"
2.109277,"2B"
1.52088,"2B"
-1.386995,"2B"
2.04506,"2B"
.0830075,"2B"
-.996322,"2B"
1.122264,"2B"
1.426632,"2B"
.9586335,"2B"
.4918446,"2B"
1.343935,"2B"
1.782788,"2B"
1.532859,"2B"
.7565116,"2B"
.1565763,"2B"
1.505405,"2B"
-.6159103,"2B"
-1.375398,"2B"
.7760442,"1B"
-.1117733,"1B"
.6800569,"1B"
-1.162022,"1B"
1.540885,"1B"
-.7074063,"1B"
.9490018,"1B"
1.27519,"1B"
2.124415,"1B"
.2551924,"1B"
.9119453,"1B"
1.498926,"1B"
-1.289785,"1B"
2.159075,"1B"
.0647854,"1B"
2.346143,"1B"
1.590979,"1B"
-1.296033,"1B"
-.2300096,"1B"
.4198873,"1B"
.4158114,"1B"
-1.524784,"1B"
-1.519743,"1B"
.0471889,"1B"
1.608295,"1B"
.6339915,"1B"
.4283544,"1B"
-.4683857,"1B"
-.7583323,"1B"
.3941951,"1B"
-2.946599,"1B"
1.532533,"1B"
2.514473,"1B"
-1.459777,"1B"
1.027943,"1B"
.2382923,"1B"
-2.653576,"1B"
1.531569,"1B"
.6173994,"1B"
.6791649,"1B"
.2204118,"1B"
.7889799,"1B"
1.635024,"1B"
2.044444,"1B"
.9726976,"1B"
1.494415,"1B"
1.342588,"1B"
.2516999,"1B"
-.409815,"1B"
1.094501,"1B"
-.2999584,"1B"
2.049083,"1B"
1.28947,"1B"
1.644288,"1B"
-.9793077,"1B"
1.307367,"1B"
.1963641,"1B"
.1811375,"1B"
.04213,"1B"
-.1027096,"1B"
-1.673747,"1B"
-.3077052,"1B"
.0114047,"1B"
-.8901406,"1B"
1.216801,"1B"
-.1600702,"1B"
1.062522,"1B"
-.1326586,"1B"
1.169201,"1B"
-.1780112,"1B"
.6971043,"1B"
.7859725,"1B"
.0186058,"1B"
1.283029,"1B"
1.066182,"1B"
.0080277,"1B"
.6948058,"1B"
.9861974,"1B"
.854011,"1B"
2.500329,"1B"
1.720057,"1B"
-1.028659,"1B"
2.868115,"1B"
2.478671,"1B"
.5139846,"1B"
2.647032,"1B"
.8096583,"1B"
.1142925,"1B"
-.5649246,"1B"
2.622616,"1B"
-.4901574,"1B"
2.182261,"1B"
1.122823,"1B"
2.352194,"1B"
.6463228,"1B"
-.0551026,"1B"
.7632747,"1B"
2.386678,"1B"
2.981867,"1B"
-.1039604,"1B"
-.0585915,"1B"
-.6872486,"1B"
1.124033,"1B"
1.608648,"1B"
.9483706,"1B"
1.869105,"1B"
-.6165066,"1B"
1.016683,"1B"
2.083603,"1B"
1.667713,"1B"
.2034876,"1B"
1.73572,"1B"
1.101206,"1B"
.9511018,"1B"
-4.378273,"1B"
.9038982,"1B"
-.3792054,"1B"
1.236096,"1B"
1.61545,"1B"
-4.219364,"1B"
.8635944,"1B"
1.345975,"1B"
1.095701,"1B"
1.234893,"1B"
.775105,"1B"
.3954148,"1B"
2.142758,"1B"
.3758441,"1B"
2.489463,"1B"
4.205662,"1B"
1.67319,"1B"
.0679296,"1B"
2.733367,"1B"
.8749228,"1B"
3.207269,"1B"
-.1426921,"1B"
-.053212,"1B"
1.140036,"1B"
-.7298153,"1B"
1.879834,"1B"
2.727336,"1B"
1.53832,"1B"
1.922659,"1B"
.0371609,"1B"
2.127178,"1B"
2.183552,"1B"
3.275634,"1B"
2.090555,"1B"
2.211722,"1B"
-1.819789,"1B"
-2.19505,"2B"
2.496011,"2B"
-.6347877,"2B"
.5580373,"2B"
.1491869,"2B"
1.742634,"2B"
-.0757586,"2B"
1.285197,"2B"
.3171293,"2B"
3.587489,"2B"
1.191109,"2B"
.9083312,"2B"
1.189278,"2B"
2.377748,"2B"
1.594148,"2B"
1.504926,"2B"
1.117336,"2B"
1.180251,"2B"
.451324,"2B"
.5953524,"2B"
2.639793,"2B"
.3392184,"2B"
2.037474,"2B"
-.8988094,"2B"
-1.17136,"2A"
.1211463,"2A"
1.17524,"2A"
1.794861,"2A"
2.844589,"2A"
4.679675,"2A"
-.4985002,"2A"
1.670902,"2A"
-.4347461,"2A"
2.352108,"2A"
-.9326971,"2A"
-.0720052,"2A"
-1.688422,"2A"
-1.087094,"2A"
.7475833,"2A"
2.684065,"2A"
-1.318576,"2A"
-.1053616,"2A"
3.400247,"2A"
-1.520846,"2A"
2.414958,"2A"
.4865165,"2A"
2.644109,"2A"
2.487695,"2A"
1.841563,"2A"
.9371163,"2A"
2.932622,"2A"
1.470466,"2A"
2.745635,"2A"
-2.468274,"2A"
.6077037,"2A"
2.240536,"2A"
2.226282,"2A"
1.553105,"2A"
-1.043533,"2A"
.3516212,"2A"
1.35147,"2A"
1.81515,"2A"
2.043046,"2A"
2.516203,"2A"
3.310145,"2A"
1.122716,"2A"
-.1185955,"2A"
1.252331,"2A"
-2.231242,"2A"
.1385787,"2A"
-1.643517,"2A"
-.1519817,"2A"
1.917753,"2A"
-.3037573,"2A"
.4938849,"2A"
3.06182,"2B"
-.2585505,"2B"
.0327479,"2B"
-1.391428,"2B"
.9431507,"2B"
1.660053,"2B"
-.614373,"2B"
.5160937,"2B"
1.385687,"2B"
-3.495486,"2B"
.100361,"2B"
2.141613,"2B"
.0208217,"2B"
.7637035,"2B"
.9386587,"2B"
1.592109,"2B"
3.295007,"2B"
1.899362,"2B"
1.906586,"2B"
.4816296,"2B"
.6742191,"2B"
.487733,"2B"
1.485612,"2B"
1.940266,"2B"
1.622396,"2B"
-.3236229,"2B"
1.201821,"2B"
2.209947,"2B"
1.857478,"2B"
2.450393,"2B"
1.528907,"2B"
.5894408,"2B"
.6702572,"2B"
1.421188,"2B"
.0485997,"2B"
1.895111,"2B"
1.511285,"2B"
