cod_lote,cent_x,cent_y
526830004401,620900.3155,637540
526830012001,621206.5019,639712
522070247301,621229.7877,626298
522070173301,622826.8774,624748
522070252701,623298.2739,624821
522070051201,623903.3167,624413
522070055801,625564.1715,624411
522070167908,625739.5551,625390
522070167203,627055.6354,626145
527860178207,640314.8932,666950
527860034805,640511.3354,665639
527860137902,642153.3227,666617
190750137201,652400.9345,720324
526870374605,655925.2194,655994
521100142102,655955.1881,643778
521100024901,657208.0261,643782
521100044101,657861.0323,643798
521100147803,658402.1155,648751
521100070503,658478.1965,647961
523990074201,659553.5268,670197
521100084902,659715.9619,647181
195320104404,659848.4092,732461
521100063401,659992.0074,645360
195320078001,660226.2521,734143
523990117602,660708.766,669837
523990087801,660760.4872,671620
195320096301,660817.7338,733434
523990050101,661004.8137,672276
523990088202,661091.9295,671602
195320020301,662233.6203,739600
195320157402,662861.9444,741927
520190111305,663487.8738,651454
520190036601,664433.012,650565
195320175301,664645.0237,741250
195320042602,664877.8531,741977
520190018701,664909.3004,653578
520190115305,665022.2559,650889
194500138701,668754.9974,685626
194500149801,669443.3471,686943
194500141102,669519.877,685970
191000668201,685228.3145,699354
192560786004,688779.588,776504
190220258201,690739.248,703582
192561076601,691246.8905,760281
192560011001,691892.4753,778925
192561072301,691895.0273,760088
192560777301,691921.4957,776592
192560059601,692538.1043,780035
190220065101,693638.9756,702653
193920001101,694157.5992,731542
192560979302,695078.2382,761756
192560411601,697826.022,759703
193920028801,698729.6917,731172
196220076601,698824.876,741883
193920015202,699298.9736,732314
197800049201,699376.0239,824039
193970454802,700112.3581,726004
193970096801,700301.2505,724293
193970429701,700377.7865,726589
193970140702,700431.9136,722483
194730026201,700631.8786,802133
197800144001,700716.4065,805394
192560496301,700770.8614,751958
193920145103,700784.344,733724
197800139701,701032.7137,804610
193920003601,701452.0189,733201
197800136501,702062.6985,804163
198070060201,702960.4294,753695
193920193501,703451.1337,732891
196220029201,703571.6138,740263
192560505802,704071.9602,750756
198070066301,705001.4657,752785
193920132601,705834.8097,737226
191300034001,706353.6636,792942
196220096502,706615.542,738655
762330027401,707444.1437,888180
194730143401,708862.3474,796145
194730333101,709680.6266,794354
191300422301,710285.9354,776973
194730325301,711113.3157,795597
194730199502,715008.3645,800843
194730190401,715524.7049,800787
760010029304,715792.25,873864
760010037702,716570.9074,874857
194730182602,717334.3481,797203
191300782501,717564.5659,777628
191300772302,718248.8858,780430
760010033401,718283.3325,872965
191300316601,718422.6521,781928
194730272601,718880.2981,797391
191300472206,721246.2616,780474
195480140701,721572.3056,790435
190010086701,721707.6627,771309
191300478101,722536.4527,775215
195480308501,723521.5335,784949
191300732501,724025.2267,783779
195480309201,724095.2072,784570
198240001201,724477.8051,773343
195480217201,724804.7555,785362
191300359703,725885.5125,783215
195480529303,726519.8465,785596
195480342801,726550.8405,783516
191370043702,727961.2268,805498
196980209401,729024.8696,809217
196980322601,729934.1916,816189
196980178301,731547.8543,817417
191370366101,731680.081,800735
196980130501,732336.219,813208
196980129701,733039.322,811901
768690052901,733066.878,912432
191370174501,733419.8328,802416
196980379901,733779.9796,814921
196980180101,733831.0515,816422
196980219701,734219.5578,809736
191370281701,734591.7924,800862
196980159901,734764.2433,814348
766160120505,740365.2983,943931
766160117601,740441.6401,945264
766160117502,740717.4718,945489
768900026301,741474.9116,929442
768280052504,741790.3531,955971
768900021901,741892.7416,930138
766160010403,742312.4658,949851
766160040801,743086.0639,942490
766160008401,743706.4682,948824
768280047303,744198.2048,954140
191420219101,744451.1011,821903
768900015501,744646.5558,932117
191420209401,745812.5147,823519
191420231601,747259.4326,822387
768280083102,749282.2702,957762
768280081601,751606.2928,956213
198210183801,753517.6326,816854
198210187201,756350.3489,819038
198210215001,758469.7777,816862
761000056904,758854.0164,972855
761000117205,761260.2501,970725
761000083201,762069.0609,971174
415510396401,764170.4376,689221
761110010303,764988.1158,924208
766220016405,765000.067,978900
192120172101,765041.7248,843638
415510845503,765208.2522,683726
765630016801,765487.3361,867951
413590056401,765534.509,704453
765630009101,765634.2926,867606
415510661501,765724.9742,695822
415510525601,765847.4248,688039
415511024901,766031.4357,690369
192120057401,766226.2453,843362
415510843302,766459.1447,685072
194550035001,766882.0146,844077
413590071701,767638.5009,703595
415511044902,767666.407,685889
415510446401,767701.4159,687708
415510960801,767903.4478,694315
52840039401,768266,1246830
415510437101,768478.4054,686226
415510183602,768581.4412,693460
768630081101,768826.6614,1004272
415510420906,768940.4162,688762
415510803803,769451.4083,687597
768630043105,769501.2107,1005514
415300131301,770318.3988,686037
760540050503,770379.7337,1012782
52840035301,770651,1246087
760540008603,772159.4866,1015970
52840124501,772236,1246907
415300166403,772709.3936,687243
768230016304,772937.2008,1000000
760540018906,773328.1439,1013651
760410073003,773450.3685,1021542
52840124701,773879,1245046
768340078701,773882.1732,938802
768230026104,774186.5876,1006511
413960370501,774463.651,737950
415300055407,774814.3754,685326
768230015005,774941.7042,1009014
760410043105,775176.7781,1021175
760410007804,775282.2273,1025183
410060184503,775510.7049,680528
760410081801,775794.1472,1019012
415300098302,776191.3585,683069
410060192502,776914.2764,679542
413960629201,776996.6426,738170
415300224502,777358.3574,683775
410060388901,777653.8592,679611
760410015004,778025.9259,1026257
761130061906,778032.4416,944739
762430056408,778164.0604,1030372
761130079601,778494.5138,944681
410060243710,778639.4087,682099
193550395703,778920.0411,764180
193550123101,779324.7069,762616
195170198701,780053.3917,792323
193550442201,780086.7673,763833
416600165803,780690.9572,709399
413960249501,780692.6511,741995
51380163802,780940,1239093
51010028801,780963,1132274
51380453604,781188,1247204
762430030802,781233.1026,1035239
762430010703,781291.5513,1040698
193550071801,781583.0783,777858
415510626602,781654.4574,706685
51010126502,781686,1144363
51010035304,781707,1137956
51010034802,781837,1137085
762430045004,781842.1084,1034176
193550076301,781870.5548,776409
51380166901,782000,1239181
193550335002,782053.2498,777094
762430069001,782064.7855,1029047
51010192102,782086,1134911
761130049502,782098.468,949674
51380334901,782158,1247509
760410065401,782256.1322,1025982
51010188601,782725,1144896
56420093107,782938,1150091
415510119801,783048.449,706108
56420093004,783264,1150228
51010038203,783799,1132490
51010039102,783895,1136883
51010038503,783926,1137315
195170216301,784771.9688,790160
416600168904,784946.6538,713159
762430053103,784974.1746,1032145
56420031401,785200,1156449
56420098503,785254,1150018
193550505401,785287.2172,764415
762430047601,785373.2634,1036052
415030228901,785427.4873,714978
51380149501,785456,1247025
56420023905,785679,1157945
56420001202,785822,1159554
193550230201,786059.1792,765150
51380201201,786066,1234036
193550231201,786260.2976,765728
51010122407,786308,1143607
415510731603,786316.4065,700361
51380202406,786515,1234655
56420226004,786549,1149089
51010049304,786652,1137105
