"","cod_lote","prod_elevs"
"255",198210183801,2047
"256",198210187201,1724
"257",198210215001,2135
"258",761000056904,1443
"259",761000117205,1601
"260",761000083201,1596
"261",415510396401,1690
"262",761110010303,1652
"263",766220016405,1561
"264",192120172101,1726
"265",415510845503,1873
"266",765630016801,1500
"267",413590056401,1781
"268",765630009101,1500
"269",415510661501,1489
"270",415510525601,1484
"271",415511024901,1536
"272",192120057401,1701
"273",415510843302,1608
"274",194550035001,1896
"275",413590071701,1354
"276",415511044902,1684
"277",415510446401,1549
"278",415510960801,1425
"279",52840039401,1546
"280",415510437101,1843
"281",415510183602,1363
"282",768630081101,1555
"283",415510420906,1549
"284",415510803803,1701
"285",768630043105,1432
"286",415300131301,1602
"287",760540050503,1418
"288",52840035301,1536
"289",760540008603,1603
"290",52840124501,1247
"291",415300166403,1851
"292",768230016304,1486
"293",760540018906,1548
"294",760410073003,1937
"295",52840124701,1333
"296",768340078701,1336
"297",768230026104,1743
"298",413960370501,2207
"299",415300055407,1470
"300",768230015005,1663
"301",760410043105,1524
"302",760410007804,1972
"303",410060184503,1717
"304",760410081801,1379
"305",415300098302,1732
"306",410060192502,1587
"307",413960629201,1667
"308",415300224502,1623
"309",410060388901,1587
"310",760410015004,1438
"311",761130061906,1192
"312",762430056408,1930
"313",761130079601,1497
"314",410060243710,1705
"315",193550395703,1776
"316",193550123101,1868
"317",195170198701,1947
"318",193550442201,1652
"319",416600165803,1278
"320",413960249501,1900
"321",51380163802,1529
"322",51010028801,1902
"323",51380453604,1230
"324",762430030802,1579
"325",762430010703,1541
"326",193550071801,1825
"327",415510626602,1445
"328",51010126502,1731
"329",51010035304,1561
"330",51010034802,1780
"331",762430045004,1783
"332",193550076301,1586
"333",51380166901,1481
"334",193550335002,1657
"335",762430069001,1595
"336",51010192102,1685
"337",761130049502,1442
"338",51380334901,1327
"339",760410065401,1516
"340",51010188601,1976
"341",56420093107,1832
"342",415510119801,1427
"343",56420093004,1789
"344",51010038203,1606
"345",51010039102,1690
"346",51010038503,1650
"347",195170216301,1894
"348",416600168904,1119
"349",762430053103,1250
"350",56420031401,2082
"351",56420098503,1737
"352",193550505401,1660
"353",762430047601,1243
"354",415030228901,1396
"355",51380149501,1556
"356",56420023905,1935
"357",56420001202,1791
"358",193550230201,1677
"359",51380201201,1654
"360",193550231201,1510
"361",51010122407,1801
"362",415510731603,1296
"363",51380202406,1845
"364",56420226004,1895
"365",51010049304,1231
"366",193550462301,1510
"367",51010119702,1839
"368",418070029401,1467
"369",51380495401,1845
"370",50930164301,2156
"371",51250183302,2172
"372",50930274301,2000
"373",50340085701,2010
"374",50340088113,1805
"375",418070041107,1362
"376",418070039805,1543
"377",56420205201,1659
"378",56420105506,1639
"379",761130080805,1409
"380",410060294103,1737
"381",418070162901,1293
"382",761130006501,1148
"383",56420041801,1804
"384",51250008801,1946
"385",660750000501,1384
"386",51010083102,1374
"387",50930175102,1750
"388",761130069301,1499
"389",417910211101,2041
"390",56420013001,1784
"391",415030205302,1390
"392",56420079401,1490
"393",761130070402,1499
"394",50420123001,2103
"395",410060009803,1555
"396",417910049701,1470
"397",50930285209,1989
"398",56420126102,1673
"399",767360097607,1280
"400",51010110604,1715
"401",56420014801,2028
"402",51250035801,2157
"403",56420062904,1514
"404",56420067114,1597
"405",410060023502,1393
"406",56420215903,1738
"407",50340004801,1626
"408",56420126902,1740
"409",56420067104,1738
"410",53060012001,1975
"411",56420246506,1877
"412",50420038401,2186
"413",417910173401,1410
"414",663830084704,1195
"415",50340002403,1683
"416",767360163904,1407
"417",50420239102,2165
"418",767360103105,1577
"419",56420179201,1737
"420",410060045902,1382
"421",410060127902,1228
"422",660750056301,1159
"423",660750056701,1159
"424",56420152804,1567
"425",50420043001,2316
"426",55430030201,1850
"427",51010110402,1347
"428",53060031201,1939
"429",767360160405,1530
"430",767360061106,1595
"431",52090096110,1995
"432",52090051702,1707
"433",50910066501,1813
"434",417910123901,1045
"435",52090241203,1743
