"","V1","V2","V3","V4"
"",NA,NA,NA,NA
"V8",2029.5,10.0951788905436,4118870.25,NA
"V10",1870.2,11.8190206053932,3497648.04,NA
"V3",2224.3,57.4348148069127,4947510.49,NA
"V4",2359.8,48.2382882882883,5568656.04,NA
"V7",2247.7,22.7494409934049,5052155.29,NA
"V8",2522.5,26.4910851782229,6363006.25,NA
"V3",2336.1,16.8103251785714,5457363.21,NA
"V4",2356.8,4.2499825,5554506.24,NA
"V6",2289.6,6.35666726190476,5242268.16,NA
"V9",2228.1,2.4758561254569,4964429.61,NA
"V1",2481.3,8.78033125,6156849.69,51.75
"V2",2457.8,19.3303519553073,6040780.84,51.3296089385475
"V3",2461,45.4485402061856,6056521,-71.9484536082474
"V4",2472.6,38.8096333333333,6113750.76,81.6666666666667
"V6",2415.7,27.3112099697885,5835606.49,-29.6918429003021
"V7",2268.1,19.7192004410684,5144277.61,14.1644204851752
"V8",2395.3,20.07838720669,5737462.09,-15.0340738891662
"V9",2465.2,13.3993271271644,6077211.04,14.2014522435301
"V10",2298,24.975023069529,5280804,21.1396988144825
"V3",2540.6,22.4285323383085,6454648.36,NA
"V5",2659,36.1913746447325,7070281,NA
"V6",2493.9,28.4809852067473,6219537.21,NA
"V7",2472.7,34.9182640452501,6114245.29,NA
"V8",2736.2,16.4742346095293,7486790.44,NA
"V2",2278.5,6.42632,5191562.25,-7
"V4",2252.3,4.38483076923077,5072855.29,-62
"V5",2192.9,6.78251363636364,4808810.41,-51.7727272727273
"V7",2029.9,5.50653333333333,4120494.01,-78
"V8",2174.3,8.77982857142857,4727580.49,-49.1904761904762
"V9",2244.3,2.36581777777778,5036882.49,-14.7333333333333
"V10",2116.2,7.73178307692308,4478302.44,24.7230769230769
"V3",2170.9,7.7172625,4712806.81,NA
"V4",2212.1,5.80042181818182,4893386.41,NA
"V2",2266.8,5.27865,5138382.24,20
"V8",2148.4,3.23577083333333,4615622.56,20
"V9",2232.5,2.69915652173913,4984056.25,75
"V10",2057.4,18.566968,4232894.76,33.68
