ao,semestre,cod_lote,edad,id_mesesdecosecha,cent_x,cent_y
2002,2,56420234501,8.5,1,788740,1147067
2002,1,56420246506,3.5,1,791434,1146094
2002,2,56420281204,9.3,2,793240,1154489
2002,2,56420285001,6.5,1,790179,1145353
2002,2,56470000401,9.3,1,825252,1266909
2002,1,56470173201,11.8,1,824951,1265103
2002,1,56490087202,11.8,1,897912,1173977
2002,1,56490127702,14.7,1,896862,1169389
2002,1,56490239101,8.4,1,895106,1173891
2002,1,56490245104,22,1,895282,1172480
2002,2,56560002901,17.8,,814729,1202462
2002,1,56560035001,7.9,1,818898,1196099
2002,1,56560043001,14,1,819882,1197206
2002,1,56560092101,8.9,1,818359,1197879
2002,1,56560095501,10.1,1,819962,1197770
2002,2,56560121601,11.1,1,816625,1199643
2002,1,56600025701,17.4,1,896783,1161289
2002,1,56600026101,19.4,1,897789,1162141
2002,1,56600042801,11.2,1,896485,1164707
2002,1,56600078002,8.2,1,894356,1163475
2002,1,56600083203,9.7,1,898384,1164488
2002,2,56670029201,22.2,1,883093,1185552
2002,1,56670033403,11.7,1,884705,1185181
2002,2,56670049401,11.5,1,885349,1186345
2002,2,56670054901,3.3,1,887624,1183731
2002,1,56670135801,15.6,1,886755,1187956
2002,1,56670137606,9.7,1,888635,1188893
2002,2,56670171501,3,1,888406,1185662
2002,1,56700015201,8.6,1,889252,1209328
2002,2,56700016202,10.4,1,888020,1207771
2002,1,56700019101,9,1,891664,1208526
2002,1,56700026201,7.7,1,893038,1209011
2002,2,56700041401,12.5,1,895944,1207044
2002,2,56700173601,9,1,888365,1208394
2002,1,56700179501,10.9,1,892712,1208608
2002,2,56790020601,12.5,2,830552,1146213
2002,2,56790026906,4.3,2,831967,1147189
2002,1,56790030901,2.4,2,832225,1146129
2002,2,56790060401,28.6,2,836581,1144041
2002,1,56790069002,11,2,834253,1146233
2002,1,56790078803,13.6,2,834698,1143482
2002,1,56790084101,13.8,2,833838,1143322
2002,2,56790150001,7.2,2,834968,1147253
2002,2,56790198803,3.5,2,835877,1144253
2002,2,56790205803,2.3,2,835161,1144186
2002,1,56790208802,17.8,2,834369,1144243
2002,2,56790214902,3.5,2,832897,1143381
2002,1,56790242102,12,2,832270,1147947
2002,2,56790249502,11.5,2,833191,1147587
2002,1,56790259403,42.6,2,834979,1149614
2002,2,57560050204,4.1,2,853744,1122172
2002,2,57560057401,10.2,2,854134,1122980
2002,2,57560084101,8.7,2,855985,1123763
2002,1,57560087004,8.2,2,857535,1120965
2002,1,57560143902,16,2,860062,1112088
2002,1,57560144302,10.9,2,859460,1112248
2002,1,57560151303,32.1,2,860305,1110166
2002,1,57560215805,16.1,2,855881,1122024
2002,2,57560237002,9.6,2,861177,1112488
2002,1,57560243202,8.2,2,860096,1110547
2002,2,57890009701,3.1,2,818931,1123496
2002,1,57890011103,6.5,2,817580,1120782
2002,2,57890011401,12.4,2,817256,1121505
2002,1,57890019701,9,2,818520,1121520
2002,2,57890043301,10.6,2,820914,1122914
2002,1,57890045804,13.9,2,818727,1119162
2002,1,57890068201,12.1,2,820385,1120464
2002,1,57890109001,5,2,822694,1113238
2002,2,57890122302,3.1,2,819910,1111662
2002,1,57890124001,17.9,2,821428,1109834
2002,2,57890128501,27.7,2,821301,1112281
2002,1,57890129802,22.2,2,820762,1111301
2002,1,57890186803,2.7,2,822341,1113504
2002,1,57890196601,17,2,819410,1113980
2002,2,57890197101,12,2,820628,1111752
2002,1,57920015904,3,2,805052,1138158
2002,2,57920032103,4.2,2,804900,1136263
2002,2,57920039909,7.4,2,808900,1137439
2002,1,57920040805,1.9,2,807473,1138660
2002,2,57920041901,3.5,2,805209,1137853
2002,2,57920056003,37.9,2,807088,1136307
2002,2,58090023104,2,2,810680,1160235
2002,1,58090027401,9,2,812700,1161246
2002,1,58090040101,9.1,2,814421,1161546
2002,2,58090040903,12.4,2,816153,1160150
2002,1,58190059001,11.8,1,822667,1265353
2002,1,58190062401,12.9,1,821358,1264433
2002,1,58190071801,7.6,1,822161,1262667
2002,2,58190150704,7.3,1,824513,1266516
2002,1,58560031701,8.5,2,823458,1110837
2002,2,58560051501,16.5,2,823326,1110063
2002,2,58560056404,11.2,2,824992,1110592
2002,1,58610019405,3.2,2,814168,1147116
2002,2,58610025201,2.2,2,811445,1145605
2002,1,58610028602,15,2,812533,1147305
2002,1,58870003702,9,1,830006,1268388
2002,2,58870007002,11.5,1,830066,1269911
2002,1,58870007502,8,1,830106,1270356
2002,2,58870009902,17.1,1,827253,1269551
2002,1,58870056601,6.1,1,829142,1270125
2002,2,58870088203,10.5,1,830554,1268252
2002,1,58900082301,15,1,896079,1226131
2002,2,58900082702,8.6,1,896307,1225709
2002,2,58900084401,8.6,1,898078,1227945
2002,1,58900087501,14,1,899522,1226327
2002,1,58900089202,8,1,898323,1224394
2002,2,58900092601,11.5,1,896721,1223448
2002,1,58900094802,9.1,1,897766,1226700
2002,1,58900196501,8.9,1,897406,1225529
2002,1,151060003502,14.9,2,1.0e+06,1120533
2002,2,151060006801,17.5,2,1.0e+06,1118752
2002,2,151060009701,42.8,2,1.0e+06,1118078
2002,1,151060014501,22.2,2,1.0e+06,1120816
2002,1,151060030802,34.3,2,1.0e+06,1117051
2002,1,151060031301,32.2,2,1.0e+06,1118021
2002,1,151060035802,14,2,1.0e+06,1118862
2002,2,151060042402,34.9,2,1.0e+06,1117472
2002,2,151850017702,4.9,1,1.1e+06,1155782
2002,2,151850026401,9.5,1,1.1e+06,1153179
2002,2,151850033901,8.9,1,1.1e+06,1155888
2002,1,151850052503,13.8,1,1.1e+06,1156974
2002,2,151850064601,12.1,1,1.1e+06,1157023
2002,1,153220001601,22,1,1.1e+06,1044385
2002,1,153250085704,24.9,1,1.1e+06,1041518
2002,1,153250089802,36.2,1,1.1e+06,1040000
2002,2,154550014502,8,1,1.1e+06,1068999
2002,1,154550025601,25.2,1,1.1e+06,1066652
2002,1,154550031301,11.9,1,1.1e+06,1065902
2002,1,154550074301,42.4,1,1.1e+06,1067508
2002,2,154550074501,14.5,1,1.1e+06,1067401
2002,1,154550076802,37.1,1,1.1e+06,1068194
2002,1,154690008002,4.3,1,1.1e+06,1148573
2002,1,154690033201,28.3,1,1.1e+06,1138429
2002,1,154690037401,18.2,1,1.1e+06,1137782
2002,2,154690044601,12.3,1,1.1e+06,1145278
2002,1,154690050801,21.9,1,1.1e+06,1146731
2002,2,154690053101,21.8,1,1.1e+06,1149060
2002,2,154690134701,42.7,1,1.1e+06,1136809
2002,2,154690140201,14.5,1,1.1e+06,1139904
2002,1,154690143902,8.5,1,1.1e+06,1136156
2002,2,154690148301,23.7,1,1.1e+06,1135856
2002,2,154800002802,22.5,,997531,1102965
2002,1,155070013501,1.3,2,988927,1115676
2002,1,156210011501,16.5,1,1.1e+06,1081788
2002,2,156210012601,18.5,1,1.1e+06,1084355
2002,2,156210013001,22.2,1,1.1e+06,1083568
2002,2,156210015701,23.4,1,1.1e+06,1081699
2002,2,156810000602,27.6,2,992363,1113355
2002,1,157610008601,34.3,1,1.1e+06,1042741
2002,2,157610011301,33.7,1,1.1e+06,1044638
2002,2,157610012801,10.3,1,1.1e+06,1045282
2002,1,158160038401,28.3,1,1.1e+06,1147496
2002,2,158160049305,30.9,1,1.1e+06,1145272
2002,2,158160068201,2.2,1,1.1e+06,1146494
2002,1,158160080809,5,1,1.1e+06,1145575
2002,1,158970008704,3,1,1.1e+06,1079700
2002,1,158970065103,10.7,1,1.1e+06,1080976
