"","cod_lote","ao","semestre","cosecha","sta_num","heat_index","distance","elev_diff"
"119","50210097501","2002","1","1","26195020","2416.78","7789.27136778463","452"
"120","50300043301","2002","1","2","26195020","2416.78","2360.08955585623","113"
"121","50300045003","2002","2","1","26195020","2575","2590.73680697341","216"
"122","50300101103","2002","1","2","26195020","2416.78","9722.15648743383","569"
"123","50300133703","2002","1","2","27015260",".","13599.8429647268","-800"
"124","50300135001","2002","2","1","27015260",".","13145.0763310373","-445"
"125","50340000403","2002","2","1","27025030","1987.62","14341.1356455102","92"
"126","50340000804","2002","2","1","27025030","1987.62","15223.1969404772","55"
"127","50340014601","2002","2","1","27025030","1987.62","15824.3321271414","-171"
"128","50340016502","2002","2","1","26225030",".","15324.777470791","1652"
"129","50340046503","2002","1","2","26225030",".","13849.6284986056","1782"
"130","50340046701","2002","2","2","26225030",".","16862.1823692343","1569"
"131","50340047206","2002","2","1","26225030",".","12155.5309336509","1520"
"132","50340048702","2002","2","1","26225030",".","14599.6029713968","1631"
"133","50340055211","2002","1","2","26215020",".","10395.0437172152","1282"
"134","50340056401","2002","1","2","23085140","2519.5","26698.1872247356","-93"
"135","50340070303","2002","1","2","26195020","2416.78","5586.05711762384","126"
"136","50340085701","2002","1","2","26195020","2416.78","6674.21992513515","633"
"137","50340088113","2002","1","2","26195020","2416.78","4556.31465620594","366"
"138","50340123901","2002","2","1","26195020","2575","4488.36680581765","180"
"139","50340143901","2002","1","2","26195020","2416.78","4046.34285496688","202"
"140","50340148601","2002","2","1","26215010",".","10349.0469039331","150"
"141","50340158201","2002","1","2","26215010",".","10664.6579657657","-256"
"142","50340158404","2002","1","2","26215010",".","8281.24759491492","-17"
"143","50340163202","2002","2","1","11025010","1482.02888888889","10420.9376570517","-116"
"144","50340208401","2002","2","1","11025010","1482.02888888889","6547.27196428763","-238"
"145","50340209201","2002","1","2","11025010","1343.76","5805.14973360045","-457"
"146","50340344501","2002","1","2","11025010","1343.76","11436.0038922128","-412"
"147","50340400203","2002","1","2","11025010","1343.76","7882.10030000797","-368"
"148","50360019701","2002","2","1","11025010","1482.02888888889","8132.19801396102","-328"
"149","50360020901","2002","2","1","11025010","1482.02888888889","10269.4882404223","-787"
"150","50360021601","2002","2","1","11025010","1482.02888888889","11434.720619144","-644"
"151","50360043702","2002","1","2","11025010","1343.76","9243.26881632072","-179"
"152","50360056301","2002","1","2","11025010","1343.76","4524.88511090986","-287"
"153","50400020201","2002","2","2","11025010","1482.02888888889","5692.20968165971","-42"
"154","50400020601","2002","2","2","11025010","1482.02888888889","8476.46637777759","-333"
"155","50400021501","2002","1","1","26225040","2250.72","20355.2780691561","284"
"156","50400023602","2002","2","2","26215020",".","18764.5976991363","1446"
"157","50400044402","2002","1","1","26215020",".","17164.6992844405","1657"
"158","50400053902","2002","1","1","26215020",".","11758.5090105437","1025"
"159","50420038401","2002","1","1","26215020",".","12319.0568370291","1473"
"160","50420043001","2002","1","1","26215020",".","11951.0264980974","1025"
"161","50420122101","2002","2","2","11075020","1573.73300492611","19093.8489667074","290"
"162","50420123001","2002","1","1","11115020",".","7639.09756031605","262"
"163","50420159003","2002","2","2","11115020","2468.34","3231.31450752292","235"
"164","50420165704","2002","1","1","11115020",".","2169.14579278869","187"
"165","50420239102","2002","1","1","11115020",".","5790.788991588","360"
"166","50420245402","2002","2","2","11115020","2468.34","5392.50368114888","551"
"167","50420279602","2002","2","2","11115020","2468.34","8252.825865045","33"
"168","50440008001","2002","2","2","11115020","2468.34","8253.06938217716","-64"
"169","50440091901","2002","2","2","11115020","2468.34","5621.91011769689","551"
"170","50440102101","2002","1","1","26195030","1511.8","13430.2229485432","-258"
"171","50440162402","2002","2","2","9","2456.8","6146.84481279267","516"
"172","50550067801","2002","1","1","27015190",".","5928.72753350621","107"
"173","50910037502","2002","2","2","27015190",".","4722.9492718148","-104"
"174","50910046004","2002","2","2","9","2456.8","1267.49208152735","269"
"175","50910047012","2002","2","2","9","2456.8","3312.32020776985","427"
"176","50910055806","2002","2","2","9","2456.8","4712.46724167648","483"
"177","50910061102","2002","2","2","9","2456.8","3570.05261063195","96"
"178","50910062802","2002","1","1","26215010",".","3185.22697886167","-299"
"179","50910065303","2002","2","2","26215010",".","5928.81271073054","-491"
"180","50910066501","2002","1","1","26215010",".","5408.16878297554","-451"
"181","50910068603","2002","1","1","26215010",".","2358.43947534117","-357"
"182","50910070722","2002","1","1","26215010",".","7949.87309860508","-649"
"183","50910073203","2002","2","2","27015190",".","13221.1840722894","177"
"184","50910081701","2002","1","1","27015150","2672.89428571429","15479.9558983451","442"
"185","50930164301","2002","1","1","27015190",".","14576.3812004894","391"
"186","50930170501","2002","2","2","27015190",".","13189.7870250637","119"
"187","50930173105","2002","2","2","26215020",".","11536.23920083","962"
