"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"120",21195080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.675172413793,3690.46714285714,3577.8,3934.74,3612.36,2974.26571428571,3735.94896551724,3487.44428571429,446.82,315.04,529.116551724138,543.341428571429,NA,NA,NA,NA,NA,NA
"121",21195110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.927142857143,1411.78357142857,1160.46,1278.40283524904,225.423448275862,1444.70952380952,1324.61785714286,197.027142857143,NA,191.823571428571,154.06,1165.4,1190.16428571429,NA,211.72,1414.18257252326,NA,NA
"122",21195120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.42,2039.7,2358.66,NA,320.2,2224.09310344828,2281.64,2290.68,2011.64,NA,322.52,1828.36344827586,2197.16,1682.86,NA,NA,NA,NA
"123",21205013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.84,776.625270935961,86,NA,NA,NA,NA,NA
"124",21205420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.32,609.48,733.9,742.8,746.3,774.26,768.939310344828,878.08,729.4,732,755,664.96,730,NA,108.32,NA,NA,NA
"125",21205580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.82,504.330714285714,706.215714285714,600.995024630542,575.565714285714,651.747660098522,NA,NA,117.13724137931,114.9,783.975290093049,93.22,415.54,505.96,101.22,NA,NA,NA
"126",21205660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447.72,NA,482.42,3080.74,2723.16344827586,3316.24,3373.38,3423.25862068965,461.12,3054.86,3411,3140.25586206897,3248.7,NA,518.32,3396.5,NA,NA
"127",21205670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.08,1269.14103448276,1375.7,1361.8,1638.96,1600.86,216.42,1530.66,1340.07172413793,1237.1,1403.50071428571,1475.72,1493.50628078818,1247.89793103448,241.9,NA,NA,NA
"128",21205700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.66,NA,64.64,487.94,372.502068965517,652.94,674.892315270936,691.025270935961,676.17,692.946428571429,82.24,675.68,623.532413793103,63.72,654.606590038314,665.86,NA,NA
"129",21205710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.28,814.38,1252.13857142857,929.06,92.16,NA,115.28,776.54,17.48,177.92,157.2,990.92,859.72,379.36,NA,NA,NA,NA
